filename,top,Text
i35,127,Digital Object Identifier 10.1109/ACCESS.2018.2791638
i36,110,Received 15 December 2017; revised 23 February 2018; accepted 26 February 2018. Date of publication 28 February 2018;date of current version 21 March 2018. The review of this paper was arranged by Editor M. Chan.
i36,131,Digital Object Identifier 10.1109/JEDS.2018.2810509
i37,114,"Received January 28, 2018, accepted February 21, 2018, date of publication February 28, 2018, date of current version March 13, 2018."
i37,127,Digital Object Identifier 10.1109/ACCESS.2018.2810252
i38,114,"Received January 18, 2018, accepted February 16, 2018, date of publication February 28, 2018, date of current version March 19, 2018."
i38,127,Digital Object Identifier 10.1109/ACCESS.2018.2810702
i39,83,"SPECIAL SECTION ON MODELLING, ANALYSIS, AND DESIGN OF 5G ULTRA-DENSE NETWORKS"
i39,114,"Received January 20, 2018, accepted February 25, 2018, date of publication March 2, 2018, date of current version March 28, 2018."
i39,127,Digital Object Identifier 10.1109/ACCESS.2018.2811679
i39,6201,"[10] F. Baccelli, B. Blaszczyszyn, and P. Muhlethaler, ‘‘Stochastic analysis ofspatial and opportunistic Aloha,’’ , vol. 27,no. 7, pp. 1105–1119, Sep. 2009."
i4,83,"JOURNAL OF LIGHTWAVE TECHNOLOGY, VOL. 36, NO. 1, JANUARY 1, 2018 103"
i4,588,"Manuscript received October 6, 2017; revised November 11, 2017; acceptedNovember 13, 2017. Date of publication December 12, 2017; date of currentversion February 24, 2018."
i4,759,Digital Object Identiﬁer 10.1109/JLT.2017.2776840
i40,114,"Received October 1, 2017, accepted February 23, 2018, date of publication March 5, 2018, date of current version April 4, 2018."
i40,127,Digital Object Identifier 10.1109/ACCESS.2018.2811759
i40,4714,1
i41,114,"Received January 25, 2018, accepted February 28, 2018, date of publication March 5, 2018, date of current version March 28, 2018."
i41,127,Digital Object Identifier 10.1109/ACCESS.2018.2812084
i42,82,ELECTRONIC MEDICAL RECORDS AND MEDICAL INFORMATION SYSTEMS
i42,114,Received 25 August 2017; revised 19 January 2018; accepted 12 February 2018.Date of publication 5 March 2018; date of current version 14 March 2018.
i42,136,Digital Object Identifier 10.1109/JTEHM.2018.2812162
i43,114,"Received January 18, 2018, accepted February 21, 2018, date of publication March 6, 2018, date of current version March 19, 2018."
i43,127,Digital Object Identifier 10.1109/ACCESS.2018.2812767
i44,114,"Received January 8, 2018, accepted February 13, 2018, date of publication March 6, 2018, date of current version March 19, 2018."
i44,127,Digital Object Identifier 10.1109/ACCESS.2018.2812743
i45,81,SPECIAL SECTION ON HUMAN-CENTERED SMART SYSTEMS AND TECHNOLOGIES
i45,114,"Received January 27, 2018, accepted February 27, 2018, date of publication March 9, 2018, date of current version March 19, 2018."
i45,127,Digital Object Identifier 10.1109/ACCESS.2018.2813082
i45,266,Corresponding author: Xuejian Zhao (zhaoxj@njupt.edu.cn)
i46,81,SPECIAL SECTION ON PRIVACY PRESERVATION FOR LARGE-SCALE USER DATAIN SOCIAL NETWORKS
i46,114,"Received January 22, 2018, accepted February 22, 2018, date of publication March 12, 2018, date of current version March 28, 2018."
i46,127,Digital Object Identifier 10.1109/ACCESS.2018.2813432
i47,114,"Received January 21, 2018, accepted February 22, 2018, date of current version March 28, 2018."
i47,127,Digital Object Identifier 10.1109/ACCESS.2018.2810225
i48,69,SPECIAL SECTION ON RECENT COMPUTATIONAL METHODS IN KNOWLEDGE ENGINEERINGAND INTELLIGENCE COMPUTATION
i48,114,"Received January 16, 2018, accepted February 22, 2018, date of publication March 19, 2018, date of current version April 4, 2018."
i48,127,Digital Object Identifier 10.1109/ACCESS.2018.2817022
i49,81,SPECIAL SECTION ON CYBER-PHYSICAL-SOCIAL COMPUTING AND NETWORKING
i49,114,"Received February 10, 2018, accepted March 11, 2018, date of publication March 19, 2018, date of current version April 4, 2018."
i49,127,Digital Object Identifier 10.1109/ACCESS.2018.2816919
i5,114,"Received September 30, 2017, accepted December 12, 2017, date of publication December 15, 2017,date of current version February 14, 2018."
i5,136,Digital Object Identifier 10.1109/ACCESS.2017.2783969
i50,83,"IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE, VOL. 2, NO. 2, APRIL 2018 139"
i6,81,SPECIAL SECTION ON INTELLIGENT SYSTEMS FOR THE INTERNET OF THINGS
i6,114,"Received October 24, 2017, accepted November 13, 2017, date of publication December 15, 2017,date of current version February 28, 2018."
i6,136,Digital Object Identifier 10.1109/ACCESS.2017.2778690
i7,114,"Received November 6, 2017, accepted December 13, 2017, date of publication December 19, 2017,date of current version February 14, 2018."
i7,136,Digital Object Identifier 10.1109/ACCESS.2017.2785265
i8,80,"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS, VOL. 19, NO. 2, FEBRUARY 2018 533"
i8,766,Digital Object Identiﬁer 10.1109/TITS.2017.2776354
i9,80,"118 IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS, VOL. 5, NO. 1, MARCH 2018"
i9,669,"Manuscript received September 7, 2017; accepted September 28, 2017. Dateof publication December 20, 2017; date of current version February 23, 2018.This work was supported in part by the European Commission through theProject Tackling Radicalisation in Dispersed Societies and in part by theEconomic and Social Research Council through the Project After Woolwich:Social Reactions on Social Media under Grant ES/L008181/1, and in part byCardiff University."
